DATE,SEC_ID,SEC_NM,OPEN,HIGH,LOW,CLOSE,NUM_SHARES,AMOUNT,NUM_TRANSACTIONS
2018-07-31,300502,新易盛,13.85,14.03,13.78,13.93,10892.0,15154860.0,1776
2018-08-01,300502,新易盛,13.98,14.11,13.6,13.63,13915.0,19245252.0,2209
2018-08-02,300502,新易盛,13.64,13.64,12.61,13.02,23294.0,30268576.0,3551
2018-08-03,300502,新易盛,13.0,13.06,12.64,12.64,9906.0,12730508.0,2041
2018-08-06,300502,新易盛,12.64,12.72,12.1,12.18,13161.0,16286174.0,2290
2018-08-07,300502,新易盛,12.21,12.54,12.05,12.53,13378.0,16529469.0,1868
2018-08-08,300502,新易盛,12.5,12.53,12.08,12.14,12545.0,15416992.0,1736
2018-08-09,300502,新易盛,12.07,12.83,11.94,12.58,21889.0,27605408.0,2516
2018-08-10,300502,新易盛,12.59,12.97,12.51,12.78,19143.0,24275532.0,2315
2018-08-13,300502,新易盛,12.88,14.07,12.68,14.07,28979.0,40053636.0,1850
2018-08-14,300502,新易盛,14.89,14.89,14.26,14.49,115089.0,168086880.0,12182
2018-08-15,300502,新易盛,14.08,14.23,13.66,13.78,54211.0,75604440.0,7630
2018-08-16,300502,新易盛,13.43,14.46,13.07,13.57,61403.0,85491744.0,7915
2018-08-17,300502,新易盛,13.95,14.13,13.54,13.54,52477.0,72927000.0,5927
2018-08-20,300502,新易盛,13.4,14.91,13.4,14.91,44987.0,65543696.0,3980
2018-08-21,300502,新易盛,16.28,16.41,15.78,16.41,152805.0,247870688.0,14976
2018-08-22,300502,新易盛,16.48,18.06,15.98,16.87,244249.0,413436096.0,29345
2018-08-23,300502,新易盛,16.23,18.57,16.03,18.57,205238.0,355036320.0,23109
2018-08-24,300502,新易盛,18.68,20.3,17.83,18.08,252285.0,475713632.0,34377
2018-08-27,300502,新易盛,17.4,19.68,17.4,19.43,210683.0,398677760.0,26443
2018-08-28,300502,新易盛,18.64,19.5,18.22,18.76,166650.0,313337056.0,23099
2018-08-29,300502,新易盛,18.5,18.67,17.92,18.38,95735.0,174640768.0,13637
2018-08-30,300502,新易盛,18.32,19.03,17.63,18.78,139991.0,258708784.0,17956
2018-08-31,300502,新易盛,18.22,19.74,18.22,18.63,134870.0,256601536.0,18925
2018-09-03,300502,新易盛,18.6,18.6,16.76,18.03,105242.0,185510752.0,13867
2018-09-04,300502,新易盛,18.02,19.26,17.88,19.04,119933.0,225125792.0,16067
2018-09-05,300502,新易盛,18.58,20.64,18.46,19.57,159559.0,314473408.0,22511
2018-09-06,300502,新易盛,19.18,20.56,19.04,20.04,129318.0,257334288.0,18099
2018-09-07,300502,新易盛,19.83,20.44,18.88,19.8,108070.0,212979568.0,16267
2018-09-10,300502,新易盛,19.46,20.13,19.07,19.47,84269.0,165463664.0,11707
2018-09-11,300502,新易盛,19.68,21.37,19.68,21.08,149376.0,307070464.0,21458
2018-09-12,300502,新易盛,20.82,21.16,20.28,20.29,97557.0,201588096.0,15051
2018-09-13,300502,新易盛,20.61,21.14,19.31,20.48,118250.0,238821824.0,17054
2018-09-14,300502,新易盛,20.04,20.38,19.58,19.78,74833.0,149538960.0,10610
2018-09-17,300502,新易盛,19.21,20.16,19.11,19.65,53593.0,105801672.0,7938
2018-09-18,300502,新易盛,19.38,19.83,18.29,19.58,80032.0,153396736.0,10596
2018-09-19,300502,新易盛,19.19,19.9,18.92,19.31,70833.0,137509824.0,8928
2018-09-20,300502,新易盛,19.06,19.88,18.76,18.89,69492.0,134265696.0,8629
2018-09-21,300502,新易盛,18.98,19.38,18.76,19.13,57931.0,110333672.0,7020
2018-09-25,300502,新易盛,18.91,19.25,18.53,19.23,43147.0,81937704.0,4889
2018-09-26,300502,新易盛,19.38,19.55,18.68,18.99,67101.0,127431680.0,8079
2018-09-27,300502,新易盛,18.82,18.93,17.38,17.49,71209.0,129439032.0,9405
2018-09-28,300502,新易盛,17.53,17.81,17.29,17.68,39301.0,69135976.0,4827
2018-10-08,300502,新易盛,16.97,17.79,16.93,17.31,43823.0,75981664.0,5193
2018-10-09,300502,新易盛,17.62,17.67,16.54,16.92,32141.0,54654196.0,4880
