"OBJECT_ID","WIND_CODE","S_INFO_WINDCODE","CITICS_IND_CODE","ENTRY_DT","REMOVE_DT","CUR_SIGN","OPDATE","OPMODE"
"{6C9D3202-2D3C-11EA-B12A-8EA64E78A375}","601958.SH","601958.SH","b103030600","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3203-2D3C-11EA-B12A-8EA64E78A375}","601966.SH","601966.SH","b106060100","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3204-2D3C-11EA-B12A-8EA64E78A375}","601968.SH","601968.SH","b109020500","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3205-2D3C-11EA-B12A-8EA64E78A375}","601996.SH","601996.SH","b109030200","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3206-2D3C-11EA-B12A-8EA64E78A375}","601997.SH","601997.SH","b10l030100","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3207-2D3C-11EA-B12A-8EA64E78A375}","603000.SH","603000.SH","b10s040100","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3208-2D3C-11EA-B12A-8EA64E78A375}","603002.SH","603002.SH","b106050400","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3209-2D3C-11EA-B12A-8EA64E78A375}","603003.SH","603003.SH","b10r040100","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D320A-2D3C-11EA-B12A-8EA64E78A375}","603005.SH","603005.SH","b10p010200","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D320B-2D3C-11EA-B12A-8EA64E78A375}","603007.SH","603007.SH","b107010400","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D320C-2D3C-11EA-B12A-8EA64E78A375}","603008.SH","603008.SH","b109030100","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D320D-2D3C-11EA-B12A-8EA64E78A375}","603015.SH","603015.SH","b10a030600","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D320E-2D3C-11EA-B12A-8EA64E78A375}","603016.SH","603016.SH","b10b020300","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D320F-2D3C-11EA-B12A-8EA64E78A375}","603017.SH","603017.SH","b107030100","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3210-2D3C-11EA-B12A-8EA64E78A375}","603018.SH","603018.SH","b107030100","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3211-2D3C-11EA-B12A-8EA64E78A375}","603021.SH","603021.SH","b109020600","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3212-2D3C-11EA-B12A-8EA64E78A375}","603022.SH","603022.SH","b109020400","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3213-2D3C-11EA-B12A-8EA64E78A375}","603025.SH","603025.SH","b10b020300","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3214-2D3C-11EA-B12A-8EA64E78A375}","603026.SH","603026.SH","b106041000","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3215-2D3C-11EA-B12A-8EA64E78A375}","603032.SH","603032.SH","b10o010300","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3216-2D3C-11EA-B12A-8EA64E78A375}","603033.SH","603033.SH","b106060200","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D3217-2D3C-11EA-B12A-8EA64E78A375}","603036.SH","603036.SH","b10a020400","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3218-2D3C-11EA-B12A-8EA64E78A375}","603038.SH","603038.SH","b108050200","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D3219-2D3C-11EA-B12A-8EA64E78A375}","603041.SH","603041.SH","b106041300","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D321A-2D3C-11EA-B12A-8EA64E78A375}","603045.SH","603045.SH","b103030600","20191202",NULL,"1","2020-02-10 17:38:17","0"
"{6C9D321B-2D3C-11EA-B12A-8EA64E78A375}","603058.SH","603058.SH","b109020400","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D321C-2D3C-11EA-B12A-8EA64E78A375}","603059.SH","603059.SH","b109030200","20191202",NULL,"1","2020-02-10 17:38:18","0"
"{6C9D321D-2D3C-11EA-B12A-8EA64E78A375}","603063.SH","603063.SH","b10b020300","20191202",NULL,"1","2020-02-10 17:38:18","0"
